n,alpha,beta,rep,N_opt,theta22_hat,sigma2_hat,h_hat
100,2.0,2.0,1,2,45342.01946087357,0.8415068821252798,0.09173286793504774
100,2.0,2.0,2,1,6370.167614782692,0.904926598698134,0.13781805218748458
100,2.0,2.0,3,2,55784.62460773201,0.9101048454510549,0.0893982446026829
100,2.0,2.0,4,1,1345.0732598873285,0.8466638613829011,0.1856122458766287
100,2.0,2.0,5,1,2906.997053248648,1.0764334415349386,0.1669252851795998
100,2.0,2.0,6,3,553230.2867884234,0.8130195218105665,0.05523986570536817
100,2.0,2.0,7,1,1062.528288449916,0.8901414178062265,0.19653382671288994
100,2.0,2.0,8,3,1164495.7489071318,0.8799798748821532,0.048359363419546705
100,2.0,2.0,9,1,1879.1544232723452,0.9225611152515766,0.1766119736777285
100,2.0,2.0,10,1,199.19088517082525,0.8192938675331122,0.27017655354673886
100,2.0,2.0,11,1,400.65643911643355,0.9405766215354151,0.2415116135581397
100,2.0,2.0,12,1,1038.1055884141808,0.829965109838308,0.19470507440029736
100,2.0,2.0,13,1,3858.882203812175,1.0627222322198628,0.15732772322531316
100,2.0,2.0,14,2,59927.629630480966,0.7651284595253568,0.08512067523876266
100,2.0,2.0,15,2,24481.493226231712,1.0474578161745451,0.10841099652067487
100,2.0,2.0,16,1,1455.0615060117145,0.9971195539716611,0.1887933901700579
100,2.0,2.0,17,1,2648.9881094148773,0.8387319998806936,0.16177903839329968
100,2.0,2.0,18,4,2519732.1573291803,1.0411058654742664,0.042858968230978824
100,2.0,2.0,19,1,1557.8768240241307,0.8417835631445839,0.18003090880803324
100,2.0,2.0,20,2,51570.853854526766,0.9904851774995327,0.0923639166320743
100,2.0,2.0,21,1,2062.001398260614,0.8801713426076269,0.17173913163496596
100,2.0,2.0,22,1,5275.251295381982,1.0922835960573136,0.14860453414654723
100,2.0,2.0,23,2,29428.40936491393,0.8265272738235396,0.09965789024759736
100,2.0,2.0,24,1,528.0074089763826,0.8609253056097991,0.2245322354563853
100,2.0,2.0,25,2,8946.34530153612,0.7095357364339874,0.12265332680468916
100,2.0,2.0,26,2,51464.78306018429,0.9612669416053933,0.09185025809302656
100,2.0,2.0,27,1,1919.4411473039881,0.8821072044319366,0.17429419489067954
100,2.0,2.0,28,2,48883.12164119578,1.264330361650747,0.09802885633997617
100,2.0,2.0,29,1,879.1204609008342,0.8339107039491426,0.20147809733864463
100,2.0,2.0,30,1,2246.623259705902,0.9471143119751305,0.17131209988824211
100,2.0,2.0,31,2,53486.533787926106,1.0235060686010977,0.09229598359622553
100,2.0,2.0,32,1,866.8509039408361,1.1987127542416107,0.21725398577896188
100,2.0,2.0,33,1,955.5385906830451,1.283228439007181,0.21598558039184143
100,2.0,2.0,34,1,580.1507832643368,1.0434441666531593,0.2289809091575246
100,2.0,2.0,35,1,1436.5147441569375,0.7611476700814611,0.17932687307755096
100,2.0,2.0,36,1,2296.456618660096,0.8493875923214584,0.1668872438162633
100,2.0,2.0,37,1,903.9500780312228,1.2441724346936072,0.2170505219643043
